first,gender,N
LINDA,F,876697
MARY,F,1314531
PATRICIA,F,848571
BARBARA,F,579060
SUSAN,F,859199
NANCY,F,524887
DEBORAH,F,687383
SANDRA,F,555312
CAROL,F,374287
KATHLEEN,F,462415
SHARON,F,464248
KAREN,F,788358
DONNA,F,552236
BRENDA,F,482765
MARGARET,F,343294
DIANE,F,368332
PAMELA,F,515455
JANET,F,308741
SHIRLEY,F,168076
CAROLYN,F,263269
JUDITH,F,172524
JANICE,F,219799
CYNTHIA,F,625168
ELIZABETH,F,946458
JUDY,F,186663
BETTY,F,162121
JOYCE,F,185342
CHRISTINE,F,462561
CHERYL,F,365857
GLORIA,F,164925
BEVERLY,F,165702
MARTHA,F,169594
BONNIE,F,162826
CATHERINE,F,335688
DOROTHY,F,132480
REBECCA,F,633503
MARILYN,F,130121
KATHY,F,295300
JANE,F,154558
JOAN,F,134286
PEGGY,F,136186
GAIL,F,128771
VIRGINIA,F,153130
CONNIE,F,182510
ANN,F,218281
KATHRYN,F,289495
DIANA,F,271258
JEAN,F,127918
RUTH,F,136451
HELEN,F,121172
FRANCES,F,104978
WANDA,F,137832
PHYLLIS,F,89647
PAULA,F,218417
JACQUELINE,F,305588
RITA,F,114666
ALICE,F,108975
KATHERINE,F,417341
DEBRA,F,543584
ELAINE,F,106988
VICKI,F,128018
SHERRY,F,191798
LAURA,F,609939
JO,F,92822
THERESA,F,263326
ELLEN,F,126688
JOANNE,F,108594
MARSHA,F,73441
ROSE,F,134968
SHEILA,F,187142
SUZANNE,F,157490
MARIE,F,133043
MARIA,F,407370
DORIS,F,70718
CATHY,F,153232
LYNN,F,145846
MARCIA,F,76579
SALLY,F,92487
DARLENE,F,127132
CHARLOTTE,F,104991
TERESA,F,362667
DENISE,F,353923
LOIS,F,55204
ANNE,F,168358
CONSTANCE,F,62967
EVELYN,F,122054
GLENDA,F,62552
SARAH,F,797382
MAUREEN,F,98908
DIANNE,F,58080
EILEEN,F,81823
IRENE,F,67479
ANNA,F,324602
VICTORIA,F,352513
JEANNE,F,74060
ROBERTA,F,72096
SYLVIA,F,100212
JOANN,F,74528
ANITA,F,125819
SUE,F,66648
ROSEMARY,F,57227
GERALDINE,F,39914
CHARLENE,F,83953
NORMA,F,73815
LORRAINE,F,70095
ANNIE,F,62001
LYNDA,F,46595
VICKIE,F,98818
LOUISE,F,43642
YVONNE,F,96024
JULIE,F,471329
MARLENE,F,58224
GWENDOLYN,F,68357
WENDY,F,246598
JUANITA,F,64461
VALERIE,F,213979
PATSY,F,32134
JENNIFER,F,1430222
JULIA,F,237478
LORETTA,F,66393
MARJORIE,F,41277
STEPHANIE,F,696743
KAY,F,42306
COLLEEN,F,135931
RHONDA,F,202342
CLAUDIA,F,86059
TERRY,F,79526
MICHELE,F,210222
DELORES,F,32203
RUBY,F,67104
JEANETTE,F,76569
ARLENE,F,45359
GAYLE,F,38076
LESLIE,F,231890
MILDRED,F,30933
JANIS,F,27071
JUNE,F,39399
VIVIAN,F,65021
DOLORES,F,35474
CAROLE,F,30944
JILL,F,193500
ANDREA,F,373764
REGINA,F,129611
ANNETTE,F,116415
SHERYL,F,67086
JOSEPHINE,F,51770
SARA,F,310714
ANGELA,F,610407
ROBIN,F,279885
EDITH,F,39421
PAULETTE,F,28223
GEORGIA,F,40490
LYNNE,F,44458
EMMA,F,221135
ROSA,F,75001
LILLIAN,F,78254
EDNA,F,31142
AUDREY,F,110478
JOY,F,88420
CARLA,F,131649
PENNY,F,80004
ESTHER,F,59047
PAULINE,F,32934
JANIE,F,33163
CHRISTINA,F,441041
JAN,F,43523
JACQUELYN,F,60667
RENEE,F,166448
PRISCILLA,F,71364
SHELLEY,F,69268
WILMA,F,19261
CANDACE,F,75736
BELINDA,F,65544
MICHELLE,F,778284
EVA,F,67208
ETHEL,F,18698
BETH,F,140831
CLARA,F,40402
YOLANDA,F,93086
LUCILLE,F,21927
BONITA,F,21852
GLADYS,F,27673
GRACE,F,168483
MARGIE,F,26195
CINDY,F,245285
CARMEN,F,92043
THELMA,F,21969
DIANNA,F,43292
RACHEL,F,473007
FLORENCE,F,20429
DAWN,F,273578
MARIANNE,F,40874
BERTHA,F,23419
LAURIE,F,158504
BOBBIE,F,42253
MARION,F,24554
VERONICA,F,168805
ELLA,F,62729
ELEANOR,F,34495
MARYANN,F,30975
WILLIE,F,15308
LILLIE,F,20691
EMILY,F,612602
BILLIE,F,36540
LANA,F,31567
BERNICE,F,22762
LUCY,F,47400
TONI,F,85011
JACKIE,F,64364
BEATRICE,F,27159
FAYE,F,18610
MARIAN,F,29870
MAXINE,F,19981
KRISTINE,F,78416
VICKY,F,46353
BECKY,F,76557
IDA,F,21560
AMY,F,639099
HAZEL,F,20143
LISA,F,957099
MELINDA,F,126161
DEBBIE,F,183353
LYDIA,F,79899
FRANCINE,F,24599
NORA,F,44110
STELLA,F,25771
VERA,F,22354
TERRI,F,140942
ROSIE,F,20297
MONA,F,26788
MONICA,F,227805
ALMA,F,36739
BERNADETTE,F,33272
CLAIRE,F,81287
RAMONA,F,37389
MYRA,F,28845
MELANIE,F,199250
NINA,F,65369
IRIS,F,35204
MELISSA,F,727947
CARRIE,F,163128
SHELIA,F,43043
SUSIE,F,24621
JESSIE,F,41637
TRUDY,F,17565
HARRIET,F,12019
MATTIE,F,16015
DANA,F,178227
CECILIA,F,48748
MARGUERITE,F,15134
PATTY,F,38045
DORA,F,25840
DEANNA,F,110231
BETSY,F,31832
IRMA,F,26418
JEANNETTE,F,27401
CAROLINE,F,124084
MINNIE,F,10208
ROSALIE,F,16178
ANTOINETTE,F,38511
ROSEMARIE,F,22419
DELORIS,F,10681
DALE,F,13307
MIRIAM,F,49853
JOHNNIE,F,11312
HOLLY,F,186830
VELMA,F,12469
LEE,F,38828
LYNETTE,F,36318
BESSIE,F,11016
NAOMI,F,60840
LUCINDA,F,23519
MELODY,F,71232
JEANNIE,F,28149
OLIVIA,F,212868
ALICIA,F,199789
CECELIA,F,19370
CANDICE,F,63564
NADINE,F,28276
CATHLEEN,F,24256
MADELINE,F,90701
LAUREL,F,31779
NELLIE,F,11812
DOREEN,F,35666
GENEVA,F,17452
AGNES,F,11030
MAE,F,10841
JENNIE,F,31602
CORA,F,21586
TINA,F,280754
ERNESTINE,F,10403
VERNA,F,11746
PATTI,F,38022
ELSIE,F,13290
DIXIE,F,14361
HILDA,F,16378
ROXANNE,F,53134
LEONA,F,14472
MARLA,F,33734
MARCELLA,F,22977
GALE,F,13388
SUSANNE,F,17706
GINGER,F,39002
GUADALUPE,F,42191
PENELOPE,F,13450
HATTIE,F,9304
CASSANDRA,F,155352
KATHIE,F,11476
LENA,F,28543
LOLA,F,15054
VIOLA,F,10845
DELLA,F,14211
MARGO,F,15692
GERTRUDE,F,5949
ALBERTA,F,9289
LAVERNE,F,10357
GLENNA,F,8615
JAYNE,F,19864
KARLA,F,74798
PEARL,F,13409
ROSALIND,F,14592
JENNY,F,77563
DARLA,F,34985
MOLLY,F,117007
THERESE,F,21960
JANETTE,F,21881
NOREEN,F,11620
FLORA,F,10054
GRETCHEN,F,38611
CHERI,F,32618
ERMA,F,7054
EUNICE,F,13738
OLGA,F,19818
MARGARITA,F,26796
SHARI,F,38310
FANNIE,F,7649
CELESTE,F,42466
DAISY,F,57362
SHERRIE,F,31151
LULA,F,6157
ELOISE,F,6901
ROCHELLE,F,38430
VIOLET,F,14924
SANDY,F,57761
LORA,F,34717
PATRICE,F,32341
CORINNE,F,26953
UNKNOWN,F,7102
SAUNDRA,F,9467
HELENE,F,9997
CELIA,F,21789
KATIE,F,172903
ROSEANN,F,9898
SHARRON,F,8973
ADRIENNE,F,53478
CLAUDETTE,F,9021
AMELIA,F,58661
ROSETTA,F,8486
GAY,F,9457
BETTYE,F,3571
CAMILLE,F,41602
CHRISTY,F,95239
DIANN,F,8064
JOANNA,F,77397
KERRY,F,46632
SALLIE,F,8518
SONDRA,F,15669
HOPE,F,60718
ADA,F,14143
SHERRI,F,80979
JAMIE,F,254450
MAMIE,F,7107
LORNA,F,14857
POLLY,F,13390
HENRIETTA,F,6901
MYRTLE,F,4849
BETTE,F,4658
FAITH,F,83579
GWEN,F,17958
ILENE,F,7579
MYRNA,F,9703
KIMBERLY,F,795800
